item_id,knowledge_code
8636,"[1, 3, 12, 250]"
3186,"[1, 3, 12, 250]"
6858,"[1, 3, 12, 250]"
6108,"[1, 3, 12, 250]"
7244,"[1, 3, 12, 104, 162, 250]"
1170,"[1, 3, 11, 206]"
732,"[1, 3, 19, 207, 208]"
4815,"[1, 20, 33, 41, 116, 117]"
8813,"[1, 20, 33, 41, 116, 117]"
8377,"[1, 3, 19, 207, 208]"
2778,"[1, 3, 19, 208]"
483,"[1, 3, 19, 207, 208]"
5960,"[1, 3, 19, 207]"
7846,"[1, 3, 19, 207]"
6561,"[1, 72, 75, 261]"
1057,"[1, 72, 264, 266]"
5827,"[1, 42, 63, 236]"
918,"[1, 3, 17, 199]"
2071,"[1, 3, 16, 202]"
7781,"[1, 3, 16, 202]"
3840,"[1, 72, 76, 261]"
3333,"[1, 3, 10, 188]"
4407,"[1, 3, 10, 188]"
877,"[1, 3, 10, 188]"
6796,"[1, 3, 10, 188]"
5373,"[1, 42, 45, 51, 55, 134, 231, 279]"
3057,"[1, 42, 45, 141]"
7533,"[1, 42, 60, 68, 230, 237]"
6069,"[1, 3, 8, 104, 163, 179]"
2650,"[1, 3, 104, 160, 161]"
7041,"[1, 3, 104, 160, 161]"
7824,"[1, 3, 104, 160, 161]"
8777,"[1, 3, 104, 160, 161]"
3867,"[1, 20, 24, 113]"
7536,"[1, 20, 24, 113, 213]"
2180,"[1, 20, 23, 113]"
4932,"[1, 20, 24, 113]"
4742,"[1, 20, 24, 113]"
1215,"[1, 20, 24, 113]"
6084,"[1, 20, 24, 113]"
4673,"[1, 20, 33, 35, 41, 114]"
6777,"[1, 20, 33, 35, 41, 114]"
5194,"[1, 20, 33, 35, 41, 114]"
5763,"[1, 20, 33, 35, 41, 114]"
2334,"[1, 20, 33, 35, 41, 114]"
2907,"[1, 20, 33, 35, 41, 114]"
8627,"[1, 20, 33, 35, 41, 114]"
7455,"[1, 20, 33, 35, 41, 114]"
5276,"[1, 20, 33, 35, 41, 114]"
1375,"[1, 20, 33, 35, 41, 114]"
1120,"[1, 20, 35, 114]"
774,"[1, 20, 25, 219]"
5385,"[1, 20, 25, 219]"
5108,"[1, 42, 68, 237]"
8532,"[1, 3, 9, 196]"
2148,"[1, 3, 9, 196]"
3034,"[1, 3, 9, 196]"
3387,"[1, 3, 9, 196]"
8956,"[1, 3, 9, 196]"
6027,"[1, 3, 9, 196]"
2273,"[1, 3, 9, 196]"
2798,"[1, 3, 9, 198]"
7132,"[1, 3, 9, 196]"
5624,"[1, 3, 9, 196]"
5237,"[1, 3, 9, 197]"
882,"[1, 3, 9, 198]"
6429,"[1, 3, 9, 198]"
8702,"[1, 3, 9, 197]"
8079,"[1, 3, 9, 197]"
4040,"[1, 42, 68, 237]"
1636,"[1, 42, 68, 237]"
8176,"[1, 42, 68, 237]"
7544,"[1, 42, 68, 237]"
5997,"[1, 72, 83, 264, 265]"
1222,"[1, 20, 30, 128]"
8110,"[1, 42, 48, 146]"
1522,"[1, 20, 23, 113]"
5987,"[1, 20, 23, 113]"
2029,"[1, 42, 68, 237]"
4416,"[1, 72, 257, 259]"
3219,"[1, 72, 257, 259]"
4851,"[1, 20, 26, 226, 102]"
2480,"[1, 20, 35, 114]"
6031,"[1, 20, 33, 211]"
4498,"[1, 20, 23, 113]"
1643,"[1, 20, 25, 217]"
5248,"[1, 20, 25, 217]"
3438,"[1, 20, 23, 113]"
6911,"[1, 20, 23, 113]"
3355,"[1, 20, 25, 219, 221]"
376,"[1, 42, 68, 237]"
2600,"[1, 20, 23, 113]"
5193,"[1, 20, 23, 113]"
4790,"[1, 20, 26, 102]"
1246,"[1, 3, 11, 206]"
4229,"[1, 20, 23, 113]"
8158,"[1, 20, 23, 113]"
6419,"[1, 20, 23, 113]"
5935,"[1, 3, 17, 253]"
1867,"[1, 3, 10, 185]"
5019,"[1, 3, 7, 104, 161, 181]"
2828,"[1, 3, 10, 185, 187]"
5754,"[1, 3, 10, 185, 187]"
2745,"[1, 72, 86, 261]"
2625,"[1, 20, 38, 116]"
2496,"[1, 20, 38, 116]"
7919,"[1, 20, 38, 116]"
1517,"[1, 20, 38, 116]"
2161,"[1, 20, 38, 116]"
3643,"[1, 20, 38, 116]"
1913,"[1, 20, 38, 116]"
5275,"[1, 20, 38, 116]"
848,"[1, 20, 38, 116]"
6535,"[1, 20, 38, 116]"
5146,"[1, 3, 13, 20, 32, 131, 169]"
607,"[1, 3, 15, 195]"
7522,"[1, 42, 46, 138]"
1928,"[1, 42, 46, 138]"
794,"[1, 42, 46, 138]"
6609,"[1, 42, 46, 138]"
3636,"[1, 42, 46, 138]"
5162,"[1, 42, 46, 138]"
1502,"[1, 3, 12, 250]"
7782,"[1, 3, 12, 250]"
254,"[1, 3, 12, 250]"
325,"[1, 3, 12, 250]"
297,"[1, 3, 12, 250]"
1619,"[1, 3, 12, 250]"
6909,"[1, 3, 12, 250]"
2042,"[1, 3, 12, 250]"
2227,"[1, 3, 12, 250]"
1665,"[1, 3, 12, 250]"
6948,"[1, 3, 12, 250]"
8088,"[1, 20, 113, 215]"
997,"[1, 3, 8, 178]"
6572,"[1, 72, 264, 267]"
3784,"[1, 3, 10, 185]"
6193,"[1, 20, 25, 220]"
3940,"[1, 3, 13, 170]"
2498,"[1, 3, 13, 171]"
2512,"[1, 3, 13, 171]"
1972,"[1, 20, 21, 112]"
7563,"[1, 20, 23, 113]"
6977,"[1, 3, 101, 174]"
4115,"[1, 3, 101, 174]"
8372,"[1, 3, 101, 174]"
6986,"[1, 3, 101, 174]"
6161,"[1, 3, 101, 174]"
8243,"[1, 3, 101, 174]"
5024,"[1, 3, 101, 174]"
511,"[1, 3, 101, 174]"
2298,"[1, 3, 101, 174]"
2599,"[1, 3, 101, 174]"
6571,"[1, 3, 101, 174]"
7882,"[1, 20, 33, 210]"
5242,"[1, 20, 35, 114]"
8097,"[1, 20, 35, 114]"
8589,"[1, 20, 35, 114]"
5331,"[1, 20, 35, 114]"
980,"[1, 20, 35, 114]"
3326,"[1, 20, 35, 114]"
6094,"[1, 20, 35, 114]"
4322,"[1, 20, 25, 52, 220, 272]"
3397,"[1, 20, 25, 52, 220, 272]"
1771,"[1, 20, 35, 114]"
6647,"[1, 20, 35, 114]"
6727,"[1, 20, 35, 114]"
8606,"[1, 20, 35, 114]"
978,"[1, 20, 35, 114]"
8942,"[1, 3, 17, 201]"
3274,"[1, 3, 17, 201]"
2076,"[1, 3, 17, 201]"
5694,"[1, 20, 30, 126]"
1600,"[1, 20, 30, 126]"
5005,"[1, 20, 30, 126]"
8105,"[1, 42, 45, 143]"
194,"[1, 72, 74, 76, 257, 261]"
2,"[1, 72, 76, 261]"
4198,"[1, 72, 75, 261]"
7554,"[1, 3, 11, 20, 33, 206, 110]"
931,"[1, 72, 80, 261]"
2796,"[1, 3, 10, 184, 185]"
3968,"[1, 3, 104, 161]"
6888,"[1, 42, 70, 242]"
6176,"[1, 20, 32, 131]"
8038,"[1, 20, 32, 131]"
3175,"[1, 20, 32, 131]"
6283,"[1, 20, 33, 41, 210]"
2739,"[1, 3, 104, 161]"
5424,"[1, 3, 104, 161]"
3313,"[1, 20, 25, 218]"
4739,"[1, 20, 33, 41]"
284,"[1, 20, 33, 210]"
3912,"[1, 20, 33, 210]"
2797,"[1, 20, 33, 210]"
2185,"[1, 20, 33, 210]"
2536,"[1, 20, 32, 131]"
811,"[1, 42, 61, 231]"
6510,"[1, 72, 82, 264]"
3589,"[1, 42, 69, 155]"
5129,"[1, 42, 231, 232]"
4679,"[1, 3, 15, 195]"
943,"[1, 3, 15, 195]"
2491,"[1, 3, 250, 251]"
6113,"[1, 3, 250, 251]"
767,"[1, 3, 250, 251]"
3434,"[1, 3, 250, 251]"
213,"[1, 3, 250, 251]"
6201,"[1, 3, 250, 251]"
3872,"[1, 3, 250, 251]"
6517,"[1, 3, 250, 251]"
2673,"[1, 3, 250, 251]"
1711,"[1, 72, 73, 257]"
6340,"[1, 72, 82, 264]"
3575,"[1, 20, 52, 270]"
2125,"[1, 20, 25, 216, 217]"
8289,"[1, 20, 25, 216, 217]"
4437,"[1, 3, 10, 189]"
8735,"[1, 72, 89, 261]"
4049,"[1, 20, 21, 112]"
1504,"[1, 20, 23, 113]"
7530,"[1, 42, 64, 236]"
7871,"[1, 3, 11, 20, 33, 206, 211]"
5102,"[1, 72, 83, 264]"
4986,"[1, 72, 83, 264]"
4257,"[1, 72, 83, 264]"
5441,"[1, 72, 83, 264]"
2206,"[1, 72, 83, 264]"
7171,"[1, 72, 83, 264]"
838,"[1, 42, 70, 242]"
6749,"[1, 42, 70, 242]"
5304,"[1, 3, 19, 209]"
5070,"[1, 3, 19, 209]"
1430,"[1, 20, 27, 39, 118, 123]"
1712,"[1, 42, 71, 149]"
7060,"[1, 42, 46, 71, 136, 138, 149, 150]"
2695,"[1, 20, 21, 112]"
7401,"[1, 20, 21, 112]"
3464,"[1, 20, 21, 112]"
407,"[1, 20, 33, 41, 210]"
2889,"[1, 20, 30, 125]"
8634,"[1, 20, 22, 112]"
5840,"[1, 20, 21, 112]"
6303,"[1, 72, 264, 266]"
4734,"[1, 42, 66, 236]"
8927,"[1, 3, 16, 203]"
4395,"[1, 20, 214, 28]"
5289,"[1, 20, 214, 28]"
8792,"[1, 20, 214, 29]"
8960,"[1, 20, 214, 29]"
6386,"[1, 20, 214, 29]"
3570,"[1, 20, 214, 29]"
7648,"[1, 20, 214, 29]"
8595,"[1, 20, 214, 31]"
3780,"[1, 20, 214, 31]"
5732,"[1, 3, 104, 164]"
5518,"[1, 3, 101, 174, 175]"
7642,"[1, 20, 35, 114]"
2503,"[1, 20, 35, 114]"
7721,"[1, 20, 35, 114]"
1680,"[1, 20, 35, 114]"
4398,"[1, 20, 35, 114]"
5700,"[1, 20, 35, 114]"
3869,"[1, 42, 46, 57, 138]"
1058,"[1, 20, 22, 112]"
4135,"[1, 20, 21, 23, 112, 113]"
1761,"[1, 3, 15, 192]"
33,"[1, 3, 15, 193]"
2770,"[1, 3, 15, 193]"
4133,"[1, 3, 8, 178]"
7067,"[1, 3, 19, 208]"
6135,"[1, 42, 57, 138, 103]"
1333,"[1, 72, 82, 264]"
6804,"[1, 72, 82, 264]"
2098,"[1, 20, 33, 210]"
4401,"[1, 20, 21, 33, 112, 210]"
4764,"[1, 20, 21, 112]"
826,"[1, 20, 21, 33, 112, 210]"
3108,"[1, 20, 22, 112]"
628,"[1, 20, 22, 112]"
8816,"[1, 20, 25, 34, 114, 223]"
2791,"[1, 90, 106, 276]"
7586,"[1, 90, 106, 278]"
7883,"[1, 42, 64, 236]"
2788,"[1, 20, 21, 33, 41, 112, 211]"
5363,"[1, 20, 22, 112]"
4935,"[1, 72, 83, 264]"
253,"[1, 20, 112, 254]"
508,"[1, 3, 8, 180]"
1465,"[1, 72, 76, 261]"
4033,"[1, 72, 76, 261]"
271,"[1, 72, 76, 261]"
4537,"[1, 72, 76, 261]"
1892,"[1, 72, 76, 261]"
4381,"[1, 72, 76, 261]"
6223,"[1, 72, 76, 261]"
3562,"[1, 72, 76, 261]"
5372,"[1, 72, 76, 261]"
5868,"[1, 72, 76, 261]"
6815,"[1, 72, 76, 261]"
5936,"[1, 72, 76, 261]"
6964,"[1, 72, 75, 261]"
5195,"[1, 72, 75, 261]"
2095,"[1, 72, 75, 261]"
2266,"[1, 72, 75, 261]"
180,"[1, 72, 75, 261]"
5571,"[1, 72, 75, 261]"
5783,"[1, 72, 75, 261]"
6830,"[1, 72, 75, 261]"
4602,"[1, 72, 75, 261]"
8255,"[1, 72, 75, 261]"
522,"[1, 72, 75, 261]"
133,"[1, 72, 75, 261]"
5762,"[1, 42, 66, 236]"
8064,"[1, 3, 12, 13, 104, 170, 250, 144]"
5138,"[1, 3, 10, 185]"
6590,"[1, 20, 33, 210]"
2357,"[1, 20, 33, 210]"
8780,"[1, 20, 33, 211]"
2747,"[1, 20, 33, 210]"
5957,"[1, 20, 33, 210]"
3521,"[1, 20, 33, 210]"
1136,"[1, 20, 33, 211]"
3423,"[1, 20, 33, 212, 214, 28]"
3275,"[1, 3, 11, 206]"
5926,"[1, 3, 250, 251]"
2707,"[1, 3, 17, 201]"
8174,"[1, 3, 17, 201]"
2280,"[1, 72, 86, 261]"
8739,"[1, 72, 86, 261]"
5245,"[1, 20, 38, 116]"
3508,"[1, 20, 21, 112]"
1691,"[1, 20, 33, 210]"
1026,"[1, 3, 11, 206]"
1616,"[1, 42, 63, 236]"
7798,"[1, 72, 82, 264]"
2830,"[1, 3, 250, 251]"
2168,"[1, 3, 250, 251]"
5125,"[1, 20, 32, 131]"
7031,"[1, 20, 32, 131]"
8382,"[1, 72, 261, 262]"
2742,"[1, 72, 261, 262]"
2261,"[1, 3, 15, 192]"
77,"[1, 3, 15, 192]"
2982,"[1, 20, 38, 40, 114, 116]"
6807,"[1, 20, 40, 114]"
5381,"[1, 20, 40, 114]"
4546,"[1, 20, 40, 114]"
3555,"[1, 20, 40, 114]"
1112,"[1, 42, 48, 145]"
6606,"[1, 3, 104, 162]"
4590,"[1, 20, 25, 216]"
7596,"[1, 20, 25, 218]"
3496,"[1, 42, 46, 138]"
255,"[1, 42, 46, 138]"
1621,"[1, 42, 71, 149]"
2128,"[1, 3, 104, 162]"
5667,"[1, 3, 15, 193]"
8765,"[1, 3, 15, 195]"
2741,"[1, 20, 34, 114]"
4824,"[1, 20, 34, 114]"
7605,"[1, 20, 34, 114]"
1678,"[1, 20, 34, 114]"
6051,"[1, 42, 68, 237]"
5662,"[1, 42, 68, 237]"
95,"[1, 42, 45, 279]"
2930,"[1, 42, 45, 49]"
6331,"[1, 72, 74, 257]"
5575,"[1, 72, 74, 257]"
1122,"[1, 72, 78, 261]"
5477,"[1, 72, 78, 261]"
6020,"[1, 72, 264, 266]"
7634,"[1, 72, 264, 266]"
316,"[1, 42, 68, 238]"
8678,"[1, 42, 68, 238]"
2560,"[1, 20, 36, 116]"
2733,"[1, 3, 12, 250]"
3934,"[1, 42, 45, 141, 143]"
7628,"[1, 42, 45, 141, 279]"
60,"[1, 42, 45, 279]"
8191,"[1, 20, 23, 113]"
2331,"[1, 20, 23, 113]"
3402,"[1, 20, 23, 113]"
7646,"[1, 20, 23, 113]"
8319,"[1, 3, 17, 42, 54, 119, 84]"
8350,"[1, 20, 21, 112]"
1135,"[1, 20, 22, 112]"
6846,"[1, 20, 22, 112]"
2511,"[1, 20, 22, 112]"
3080,"[1, 20, 33, 211]"
3465,"[1, 20, 33, 211]"
7941,"[1, 42, 69, 155]"
7545,"[1, 3, 16, 203]"
2609,"[1, 20, 35, 114]"
1067,"[1, 20, 35, 114]"
3919,"[1, 20, 35, 114]"
5663,"[1, 20, 35, 114]"
4400,"[1, 20, 35, 114]"
3429,"[1, 20, 35, 114]"
4976,"[1, 20, 35, 114]"
7639,"[1, 20, 35, 114]"
7720,"[1, 20, 35, 114, 214, 247]"
1264,"[1, 3, 104, 161]"
6000,"[1, 3, 4, 104]"
3507,"[1, 42, 46, 138]"
3365,"[1, 3, 11, 206]"
312,"[1, 20, 33, 41]"
1549,"[1, 20, 33, 41]"
8931,"[1, 20, 33, 41]"
7728,"[1, 20, 33, 41]"
3651,"[1, 20, 33, 41]"
4203,"[1, 20, 33, 41]"
7355,"[1, 90, 106, 276]"
6910,"[1, 90, 106, 276]"
3712,"[1, 90, 106, 276]"
2688,"[1, 90, 106, 276]"
6573,"[1, 90, 106, 278]"
2847,"[1, 90, 106, 278]"
8408,"[1, 90, 106, 278]"
7565,"[1, 90, 106, 278]"
2970,"[1, 90, 106, 278]"
4733,"[1, 20, 37, 42, 50, 118, 228]"
4454,"[1, 20, 34, 114]"
1374,"[1, 20, 26, 43, 114, 227]"
622,"[1, 20, 26, 43, 114, 227]"
871,"[1, 3, 17, 200, 201]"
4951,"[1, 42, 71, 149]"
7616,"[1, 42, 71, 149]"
3785,"[1, 42, 71, 149]"
7592,"[1, 42, 71, 149]"
5254,"[1, 3, 16, 202]"
538,"[1, 20, 25, 219, 221, 105]"
7538,"[1, 3, 9, 196]"
1802,"[1, 72, 73, 257, 258]"
3293,"[1, 20, 37, 42, 50, 118, 228]"
6859,"[1, 3, 11, 206]"
7422,"[1, 3, 11, 204]"
1985,"[1, 3, 11, 204]"
4905,"[1, 3, 10, 13, 171, 186]"
1667,"[1, 3, 9, 10, 187, 196]"
7385,"[1, 3, 13, 104, 161, 169]"
266,"[1, 3, 7, 13, 104, 161, 169, 181]"
2713,"[1, 3, 8, 179]"
302,"[1, 3, 8, 178]"
5562,"[1, 3, 8, 178]"
6806,"[1, 3, 8, 180]"
1004,"[1, 3, 8, 178]"
6482,"[1, 3, 8, 179]"
4971,"[1, 3, 8, 179]"
867,"[1, 3, 8, 180]"
5638,"[1, 3, 8, 178]"
191,"[1, 3, 8, 179]"
263,"[1, 3, 8, 179]"
5091,"[1, 3, 8, 179]"
640,"[1, 42, 71, 85]"
8656,"[1, 42, 68, 237]"
42,"[1, 42, 68, 237]"
7710,"[1, 42, 68, 237]"
8880,"[1, 20, 23, 113]"
3269,"[1, 20, 35, 114]"
7096,"[1, 20, 35, 114]"
2158,"[1, 20, 35, 114]"
7519,"[1, 20, 35, 114]"
7643,"[1, 20, 35, 114]"
4808,"[1, 20, 35, 114]"
6581,"[1, 20, 35, 114]"
8795,"[1, 20, 32, 131]"
3693,"[1, 20, 23, 113]"
8355,"[1, 3, 13, 170]"
925,"[1, 42, 48, 145, 146]"
5713,"[1, 20, 24, 43, 113, 114]"
1560,"[1, 42, 45, 141]"
759,"[1, 42, 45, 279]"
1334,"[1, 42, 45, 141]"
6887,"[1, 42, 45, 279]"
6244,"[1, 42, 45, 141]"
8972,"[1, 42, 45, 141, 279]"
2870,"[1, 42, 45, 141]"
7070,"[1, 42, 45, 141]"
547,"[1, 42, 45, 142]"
8219,"[1, 42, 45, 142]"
4069,"[1, 42, 45, 142]"
5209,"[1, 42, 45, 141, 142]"
4572,"[1, 42, 45, 279]"
6422,"[1, 42, 45, 279]"
4712,"[1, 3, 17, 42, 54, 119, 84]"
4757,"[1, 42, 45, 47]"
4496,"[1, 3, 17, 42, 54, 119, 84]"
7436,"[1, 3, 17, 42, 54, 69, 155, 119, 84]"
3345,"[1, 3, 17, 42, 54, 119, 84]"
7110,"[1, 42, 45, 47]"
4168,"[1, 3, 17, 42, 54, 231, 232, 119, 84]"
2554,"[1, 42, 138, 139]"
341,"[1, 20, 33, 41]"
6394,"[1, 20, 33, 41]"
8856,"[1, 20, 33, 41]"
3516,"[1, 20, 21, 112]"
1607,"[1, 20, 33, 211]"
745,"[1, 20, 33, 41]"
4431,"[1, 20, 33, 210]"
5548,"[1, 20, 21, 112]"
1195,"[1, 20, 23, 113]"
8055,"[1, 20, 21, 112]"
5557,"[1, 20, 33, 211, 212]"
5922,"[1, 20, 33, 212]"
6471,"[1, 20, 22, 112]"
3736,"[1, 20, 113, 213]"
2271,"[1, 20, 33, 211]"
6444,"[1, 20, 22, 112]"
1781,"[1, 90, 106, 276]"
242,"[1, 90, 106, 276]"
1260,"[1, 90, 106, 278]"
3312,"[1, 3, 10, 184]"
3338,"[1, 3, 10, 187]"
1230,"[1, 3, 10, 191]"
7238,"[1, 3, 10, 185]"
1677,"[1, 3, 10, 190]"
5234,"[1, 3, 10, 189]"
3710,"[1, 3, 10, 189, 190]"
29,"[1, 3, 10, 189]"
474,"[1, 3, 9, 249]"
4772,"[1, 3, 9, 249]"
3843,"[1, 20, 21, 33, 112, 210]"
1476,"[1, 20, 21, 33, 112, 210]"
1888,"[1, 20, 25, 218]"
7581,"[1, 3, 9, 196]"
4116,"[1, 3, 9, 198]"
4818,"[1, 3, 7, 181]"
3929,"[1, 3, 7, 182]"
2851,"[1, 72, 257, 258]"
6006,"[1, 42, 68, 237]"
2698,"[1, 42, 55, 134]"
5603,"[1, 20, 32, 133]"
2056,"[1, 20, 32, 133]"
7387,"[1, 20, 32, 133]"
2634,"[1, 20, 32, 132]"
4336,"[1, 20, 32, 133]"
5797,"[1, 20, 32, 133]"
3311,"[1, 20, 32, 133]"
5688,"[1, 20, 32, 133]"
8742,"[1, 20, 32, 133]"
1450,"[1, 20, 32, 133]"
6961,"[1, 20, 32, 133]"
8365,"[1, 20, 32, 133]"
4219,"[1, 20, 32, 133]"
257,"[1, 20, 32, 133]"
694,"[1, 42, 46, 138]"
4776,"[1, 42, 57, 138, 103]"
4685,"[1, 42, 57, 134, 135, 138]"
7294,"[1, 42, 46, 138]"
868,"[1, 42, 46, 138]"
3742,"[1, 42, 46, 138]"
4016,"[1, 42, 46, 138]"
7339,"[1, 42, 46, 138]"
6053,"[1, 42, 60, 230]"
7199,"[1, 42, 60, 230]"
4141,"[1, 42, 46, 138]"
999,"[1, 42, 60, 230]"
1660,"[1, 20, 35, 114]"
8031,"[1, 20, 25, 219]"
2378,"[1, 20, 25, 217]"
8677,"[1, 20, 25, 216]"
7893,"[1, 20, 25, 219]"
4175,"[1, 20, 52, 272]"
7569,"[1, 20, 25, 219]"
5498,"[1, 20, 25, 222]"
308,"[1, 20, 25, 222]"
2813,"[1, 3, 9, 197]"
643,"[1, 3, 15, 192]"
5547,"[1, 3, 15, 193]"
2565,"[1, 3, 15, 192]"
7136,"[1, 3, 15, 192]"
2505,"[1, 42, 48, 145]"
1030,"[1, 42, 48, 146]"
6026,"[1, 42, 48, 146]"
2187,"[1, 42, 48, 146]"
4970,"[1, 42, 48, 146]"
1291,"[1, 42, 48, 147]"
1241,"[1, 42, 48, 146]"
5133,"[1, 42, 48, 145, 146]"
3828,"[1, 42, 48, 146]"
4761,"[1, 42, 48, 146]"
8852,"[1, 3, 17, 253]"
1820,"[1, 3, 17, 200]"
7895,"[1, 3, 16, 202]"
5042,"[1, 3, 17, 200]"
3862,"[1, 3, 17, 201]"
3157,"[1, 42, 134, 135]"
5947,"[1, 42, 55, 134]"
3737,"[1, 42, 45, 141, 143]"
805,"[1, 20, 35, 114]"
6346,"[1, 20, 114, 99]"
6752,"[1, 20, 35, 114]"
6310,"[1, 20, 35, 114]"
7600,"[1, 20, 35, 114]"
6568,"[1, 20, 35, 114]"
5167,"[1, 20, 38, 116]"
7332,"[1, 20, 38, 116]"
5693,"[1, 20, 35, 114]"
6745,"[1, 20, 38, 116]"
6238,"[1, 20, 38, 116]"
4356,"[1, 20, 38, 116]"
3747,"[1, 3, 11, 206]"
4051,"[1, 3, 11, 206]"
8799,"[1, 3, 11, 204]"
7842,"[1, 3, 11, 206]"
4571,"[1, 3, 11, 206]"
1566,"[1, 3, 11, 206]"
2440,"[1, 3, 11, 20, 33, 206, 211, 212]"
38,"[1, 3, 11, 20, 33, 206, 211, 212]"
6597,"[1, 3, 11, 206]"
7489,"[1, 3, 11, 206]"
4528,"[1, 3, 11, 206]"
8285,"[1, 3, 11, 206]"
951,"[1, 72, 82, 261, 263, 264]"
3687,"[1, 3, 11, 18]"
624,"[1, 3, 11, 18]"
3604,"[1, 3, 42, 71, 104, 149, 166]"
3768,"[1, 3, 19, 209]"
2103,"[1, 42, 71, 87]"
1133,"[1, 20, 25, 221]"
4420,"[1, 3, 19, 207]"
7403,"[1, 3, 19, 207]"
4202,"[1, 3, 19, 207]"
5055,"[1, 3, 19, 207, 208]"
4858,"[1, 3, 19, 208]"
7040,"[1, 3, 19, 208]"
2510,"[1, 3, 19, 207, 208, 209]"
3715,"[1, 3, 19, 208, 209]"
7392,"[1, 3, 11, 20, 206, 107]"
2487,"[1, 72, 82, 264]"
3666,"[1, 72, 264, 265]"
6360,"[1, 72, 82, 264]"
8570,"[1, 72, 264, 265]"
109,"[1, 3, 104, 77]"
1328,"[1, 72, 261, 88]"
7048,"[1, 72, 82, 264]"
5772,"[1, 72, 82, 264]"
7457,"[1, 72, 81, 264]"
6132,"[1, 72, 82, 264]"
2571,"[1, 72, 261, 263, 264, 268]"
4163,"[1, 42, 48, 148, 145, 147]"
8666,"[1, 3, 16, 42, 69, 155, 202]"
5705,"[1, 3, 10, 16, 42, 69, 157, 184, 202]"
2494,"[1, 42, 63, 236]"
4134,"[1, 42, 66, 236]"
6095,"[1, 42, 63, 236]"
1694,"[1, 42, 66, 236]"
